account,signal,value,source,collected_at
Corning,ai_announce,21,SEC EDGAR: 3 AI-referencing filings (180d),2026-09-05T07:16:37+00:00
Dow,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:38+00:00
Walmart,ai_announce,49,SEC EDGAR: 7 AI-referencing filings (180d),2026-09-05T07:16:38+00:00
Costco Wholesale,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:39+00:00
The Home Depot,ai_announce,7,SEC EDGAR: 1 AI-referencing filings (180d),2026-09-05T07:16:40+00:00
Lowe's,ai_announce,7,SEC EDGAR: 1 AI-referencing filings (180d),2026-09-05T07:16:40+00:00
Target,ai_announce,7,SEC EDGAR: 1 AI-referencing filings (180d),2026-09-05T07:16:42+00:00
TJX Companies,ai_announce,7,SEC EDGAR: 1 AI-referencing filings (180d),2026-09-05T07:16:42+00:00
Best Buy,ai_announce,49,SEC EDGAR: 7 AI-referencing filings (180d),2026-09-05T07:16:44+00:00
Kroger,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:45+00:00
Dollar General,ai_announce,42,SEC EDGAR: 6 AI-referencing filings (180d),2026-09-05T07:16:45+00:00
Procter & Gamble,ai_announce,49,SEC EDGAR: 7 AI-referencing filings (180d),2026-09-05T07:16:48+00:00
Coca-Cola,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:49+00:00
PepsiCo,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:49+00:00
Nike,ai_announce,7,SEC EDGAR: 1 AI-referencing filings (180d),2026-09-05T07:16:51+00:00
McDonald's,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:16:52+00:00
Starbucks,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:53+00:00
The Walt Disney Company,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-08-29T09:37:36+00:00
Mondelez,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:55+00:00
Colgate-Palmolive,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:57+00:00
Unilever (Americas),ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:58+00:00
Kraft Heinz,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:17:00+00:00
