account,published,source,title,link
Microsoft,2026-09-23,WSJ,"Microsoft Is Preaching AI Transformation, Starting With Itself - WSJ",https://news.google.com/rss/articles/CBMipAFBVV95cUxPWmNVclVYOFF3bmVWOUlzUVBLZUgzUDZFcmEwa2pZZ1hYN0htNzdkWXJhQlVJLWFfQ0xjOVQteU01SkwtdHNkLUkyR0I0cTZIYTRiaHlzS0I2MGp3b0M4bEoxRTFnWGdseDRuR3lQU2RFM1dISTBWVjE3c3NzV2o5enJSWWk2UWM5MVItWnp1Rk5xVzBDQ0QteHo0QV9KT1l5SmN2Xw?oc=5
Microsoft,2026-09-22,arstechnica.com,"Microsoft disrupts AI-assisted platform that compromised 12,000 accounts - arstechnica.com",https://news.google.com/rss/articles/CBMipwFBVV95cUxQUmh3a3dqNVZjY3lzUGdaT3VhOUR2R3BSdncwVlZxZi1QNDJLTl80OGxLQk1SRGFyNDZwTGRWLXQwN2NCdWotRlJOMFo4cEQwR0VGNkswRm9RR1RfRlhTd3NXSmlVUk5kTnZ6Z2VEWTJVLU1hZGkxN2hBa294MGF6SzJxVV85a3VQbllkS19kZW05STc3Rm9wZUpzLVdydGNOUlB2X2tHbw?oc=5
Microsoft,2026-09-22,Mashable,"Microsoft AI boss calls out Anthropic for chasing AI consciousness, reigniting old debate - Mashable",https://news.google.com/rss/articles/CBMijgFBVV95cUxOWTdvZ3ZjQVR2bVg4ZmpfYU9Rc2MtYXZLQVM1Z2xRWWI2SUdFYldlNTdfTndxeFRIOXgyRnVadG12RGJFV09iLV9peGVRRFVRLXkwQUhsckdhcFNIbDRaZGxmS3dJWUVpSXkxd1BidDdWQTBFQmxTaERoNmZLWm12SnpMZENlRjkzQmFkMzln?oc=5
Microsoft,2026-09-22,Microsoft Azure,"GPT-6 Astra, Sol, and Luna: For production agents in Microsoft Foundry - Microsoft Azure",https://news.google.com/rss/articles/CBMiqwFBVV95cUxON0ROVVZpcUN6X21fRXcxN3dzOUJfUTZEODN6MXRwNGlZYU93N3JQZFl4WU9zMVVYZ2xfcFFSdmRXQUd5TlVyZTJxQ0lQcWZZMWlmcHM4Sm16WHZBeE1ySGQ1RU9hbkVJMTJwMmN0bjlWWWNHaHJ5clkwU1o1UG51UnppS2t0YUV0Wi0yYmhDaHJpOWljYnVyXzByQTZTeVEwY0JxQlN5TWIwcmc?oc=5
Microsoft,2026-09-22,The Official Microsoft Blog,Disrupting EvilTokens: The AI Chatbot Built for Cybercrime - The Official Microsoft Blog,https://news.google.com/rss/articles/CBMisAFBVV95cUxOcEJpVWZMTWd2UW5sekhBbnFvVmxhMTM3RjVMUG5wMHVZMmIxNjhKMENmd3A2Zl9xRzVtbjQ4WkUtSlRWLTIycm5yXzloZnBadi15V3U1WUt4M1JmLVBydzk0Z0hCOU5pR0xIM0w0d3kzNUlzMm1LUlNXUnhJUlNDbS1oWDVrZWlRWXU4eTdKNUVPTTJkWFM1bUdkdmFjZmllTVROMUJSdUhzN0pRM3BHQg?oc=5
Alphabet (Google),2026-09-22,The Globe and Mail,Not Micron. Not Alphabet. Here's My Top Artificial Intelligence (AI) Stock Pick for the Next 3 Years. - The Globe and Mail,https://news.google.com/rss/articles/CBMikAJBVV95cUxPRkJOc2VlWEVlMjRpU0U2b09MYm1HTF9FSjBwQzlPLTNvdTdUVElqT0ZIN3p1R1VhcGVabnZsZTBVR3ZqUzBLM2V2aWdjRVRnZWJxMm9YZ0FCWlpjYThWbExPU2tKUlZyVGkyNllSZGVBd0xVY0NVcTNiZGtnZDVyLVBUQVNPLUptaU1BemEtQ1gzZE9EUmNZcktueFZMNHIxckVrZV9VUXhHaTY0RFd2RjBLSjB3QS02QWNscGlCX1lFNFFJZ0JGSFdZdXVRSWZJT1RWcS16RTl2dkkyUFZtVjk4eE92bDV4VkpmNE5ha3ZXaVpVNXhxT0pVZFZRVVFOV29TaTlTZ3ZRVXIwaUU3aQ?oc=5
Alphabet (Google),2026-09-22,Yahoo Finance,Not Micron. Not Alphabet. Here's My Top Artificial Intelligence (AI) Stock Pick for the Next 3 Years. - Yahoo Finance,https://news.google.com/rss/articles/CBMimAFBVV95cUxNazd5QnVvMnB1cTVHODIzVmhNcGZfWXFpQW5iVlRXbWJ2SUtXekx1azJLTnc1dlFfZDJPUDBNNDhkTWoxOXdhZDFfR0FCWXZpdWpqY0hNbFJGUGx5YkpjVExVbURWM2tjQkRCVExhaGFxTVFtUHp6emR0NXRpOWxLaWk2NllrcV9KMFNUcmlEZUlfMDVVZTViZA?oc=5
Alphabet (Google),2026-09-22,fool.com,"Alphabet: Can AI, Cloud, and Moonshots Keep the Growth Engine Running? - fool.com",https://news.google.com/rss/articles/CBMimAFBVV95cUxOV3NFM2syc0dpc1lteEZUUDVYXzJicUp0am1Cc3U3V25UbUZ4SkZIbjl5WVl5RkNLSkk0dUdhYmNrWXFONlVST2JqRGJqM2xJWkYtcXFnbzl3QUVlM3ItWFJBNnNPQmJOOW5maWJJdW1BbllKdklJYkplU3BsOXFDSWxhRmNsTUl0UC1WTU0wVWZ1WWYxeHF1bA?oc=5
Alphabet (Google),2026-09-21,The Globe and Mail,"Alphabet: Can AI, Cloud, and Moonshots Keep the Growth Engine Running? - The Globe and Mail",https://news.google.com/rss/articles/CBMi5gFBVV95cUxNRU9iVXVuUy1rZ3JXOERXWjJZcEtWRm9NYUpxejhUTjFBZnBXckVPdzc3LXYyamxxcmlfVlhYbko1cEdEV0Mwc0dqLTlDQlR4Z2MxbzBuMjVLN2xTaURzZEhuQnFWVDBla3JRSFdZTnVfbUQxN0FHelRyUkE1a3otRThNUFY3cXI5cVlKVExNQVFBTVZvcVBieGh4eW1QTGNqcDR2c1JIZlVrVnFUQS1wdU1YcVNaZFJ1dFg1MGFMb3ZDQkpmcVRBc0lPY2FfMmZfcUxMRkhTd3RINHdqUmRQMHZPNEUtZw?oc=5
Alphabet (Google),2026-09-21,Barchart.com,Alphabet Pushes Deeper Into Voice AI With New Gemini Models - Barchart.com,https://news.google.com/rss/articles/CBMipgFBVV95cUxPZXdnVkhUak80WGV6Zm84dEo4UEZFdW5KTGNzdWpXaGo4WjJMNzdranktNXdCZWsxNkVLYW9GZ3dIbm9GMlJZTm1Rc0I0aS0zMVA2T2tZNXd3dXYta1pENU5BWWhlS3FrM1BfTnQ3YWdVSlRUUzVjaGRqMkhvRjBINUkwb29wQlJRSktzUWxLVFNRMEx2VXFScU9CV2F6cDY1ampLaFFB?oc=5
Amazon,2026-09-22,Amazon Web Services (AWS),Introducing Amazon CloudWatch Omni: collaborative AI-powered observability for your applications - Amazon Web Services (AWS),https://news.google.com/rss/articles/CBMiyAFBVV95cUxOajFtcGI1UWNwOFNEZ0FaVUViQzRfM2J5M2F1RVU0cEFkWDVsaDlwOWFrMnoyTlZkT2gwb2NvVmVDclBNSlh4eHhQeUh0UnVQd3JUWEVOZy1BZDRsRUlDdEt1UHRHLV92U2IzbE9KOFpFVzYtNzBmWncxNzRRc1QzTk5xTU94Q0V6QmNMUE55QmFGLUlUM3V2X0NrMU02THh1bVdoT2dNMEY4d0x6bGd5Y2EydmZRLUJZY0FLdDBPV3ZkMzY4T3J0OA?oc=5
Amazon,2026-09-22,Amazon Web Services (AWS),Introducing Amazon CloudWatch Omni: Observability for the AI Era - Amazon Web Services (AWS),https://news.google.com/rss/articles/CBMinAFBVV95cUxOaWNGY0Z5TlJySWUwSWstUWkyRzF5NWU2TUVWeEI0SGU0LWtIWkNvajV5M1piTTBQZnRCbm5PeF95ZUhEeGF1RjR0bTBETFVxVnFCbWJfT3RuRGg3czd4Rm1yODJNNVY3d1FFeHRyYkZHaWk4S2RiMkR2czlKMUJhT2Y3QzB5QnI5d2JvQmViRDVhOVBhdjBBZFA1bGU?oc=5
