account,ticker,industry,sub_industry,source,measured_signals,ai_hiring,ai_announce,cloud,global_reach,data_centre,base_score,note_count,kb_count,note_adj,kb_adj,news_adj,adjusted_score,tier,tier_action,segment,lookalikes
Amazon,AMZN,Technology,Software & Internet,baseline,SEC filings,100,35,100,98,100,94.0,0,0,0.0,0.0,5.0,99.0,Tier 1,Engage now,AI Front-Runners,Microsoft; Alphabet (Google); Meta Platforms; Palantir; Oracle
Microsoft,MSFT,Technology,Software & Internet,baseline,SEC filings,100,14,100,100,100,90.1,0,0,0.0,0.0,5.0,95.1,Tier 1,Engage now,AI Front-Runners,Alphabet (Google); Amazon; Oracle; Meta Platforms; Palantir
Alphabet (Google),GOOGL,Technology,Software & Internet,baseline,SEC filings,100,14,98,100,98,89.1,0,0,0.0,0.0,5.0,94.1,Tier 1,Engage now,AI Front-Runners,Microsoft; Amazon; Oracle; Meta Platforms; Palantir
Meta Platforms,META,Technology,Software & Internet,baseline,SEC filings,98,28,88,92,100,82.5,0,0,0.0,0.0,5.0,87.5,Tier 1,Engage now,AI Front-Runners,Alphabet (Google); Amazon; NVIDIA; Oracle; Microsoft
S&P Global,SPGI,Professional Services,Professional Services,baseline,SEC filings,88,91,88,94,50,80.7,0,0,0.0,0.0,5.0,85.7,Tier 1,Engage now,Late Starters,Block; Fiserv; Schneider Electric; Siemens (Americas); Marsh McLennan
Hewlett Packard Enterprise,HPE,Technology,Semiconductors & Hardware,baseline,SEC filings,90,63,76,94,84,79.3,0,0,0.0,0.0,5.0,84.3,Tier 1,Engage now,Strong Adopters,Micron; Marvell; Tesla; AMD; Broadcom
Salesforce,CRM,Technology,Software & Internet,baseline,SEC filings,92,28,98,87,67,77.6,0,0,0.0,0.0,5.0,82.6,Tier 1,Engage now,AI Front-Runners,Adobe; Apple; Uber; Snowflake; ServiceNow
Adobe,ADBE,Technology,Software & Internet,baseline,SEC filings,92,28,98,87,67,77.6,0,0,0.0,0.0,5.0,82.6,Tier 1,Engage now,AI Front-Runners,Salesforce; Apple; Uber; Snowflake; ServiceNow
Marvell,MRVL,Technology,Semiconductors & Hardware,baseline,SEC filings,90,35,76,94,84,77.0,0,0,0.0,0.0,5.0,82.0,Tier 1,Engage now,Strong Adopters,AMD; Tesla; Dell Technologies; Qualcomm; Broadcom
AMD,AMD,Technology,Semiconductors & Hardware,baseline,SEC filings,90,28,76,94,84,75.3,0,0,0.0,0.0,5.0,80.3,Tier 1,Engage now,Strong Adopters,Marvell; Broadcom; Qualcomm; Dell Technologies; Tesla
Shopify,SHOP,Technology,Software & Internet,baseline,SEC filings,86,35,94,87,59,75.0,0,0,0.0,0.0,5.0,80.0,Tier 1,Engage now,AI Front-Runners,Intuit; Adobe; Salesforce; Atlassian; American Express
Palantir,PLTR,Technology,Software & Internet,baseline,SEC filings,100,28,100,75,85,74.9,0,0,0.0,0.0,5.0,79.9,Tier 1,Engage now,AI Front-Runners,Snowflake; Amazon; Salesforce; Adobe; ServiceNow
Oracle,ORCL,Technology,Software & Internet,baseline,SEC filings,90,7,96,88,98,74.4,0,0,0.0,0.0,5.0,79.4,Tier 1,Engage now,AI Front-Runners,Alphabet (Google); Microsoft; Meta Platforms; Amazon; NVIDIA
Apple,AAPL,Technology,Software & Internet,baseline,SEC filings,92,14,98,87,67,74.3,0,0,0.0,0.0,5.0,79.3,Tier 1,Engage now,AI Front-Runners,Uber; ServiceNow; SAP; Adobe; Salesforce
Uber,UBER,Technology,Software & Internet,baseline,SEC filings,92,14,98,87,67,74.3,0,0,0.0,0.0,5.0,79.3,Tier 1,Engage now,AI Front-Runners,Apple; ServiceNow; SAP; Adobe; Salesforce
Eli Lilly,LLY,Healthcare,Pharma & Biotech,baseline,SEC filings,84,28,82,94,58,74.9,1,0,2.0,0.0,1.6,78.5,Tier 1,Engage now,Steady Middle,Goldman Sachs; Moderna; Amgen; Bank of America; Pfizer
Snowflake,SNOW,Technology,Software & Internet,baseline,SEC filings,92,35,98,75,67,73.0,0,0,0.0,0.0,5.0,78.0,Tier 1,Engage now,AI Front-Runners,Salesforce; Adobe; Intuit; ServiceNow; Shopify
Siemens (Americas),SIEGY,Manufacturing & Industrial,Industrial & Materials,baseline,,76,80,76,96,52,72.0,0,0,0.0,0.0,5.0,77.0,Tier 1,Engage now,Late Starters,Schneider Electric; FedEx; Marsh McLennan; Paramount; Fiserv
Schneider Electric,SBGSY,Manufacturing & Industrial,Industrial & Materials,baseline,,76,80,76,96,52,72.0,0,0,0.0,0.0,5.0,77.0,Tier 1,Engage now,Late Starters,Siemens (Americas); FedEx; Marsh McLennan; Paramount; Fiserv
Dell Technologies,DELL,Technology,Semiconductors & Hardware,baseline,SEC filings,90,14,76,94,84,71.9,0,0,0.0,0.0,5.0,76.9,Tier 1,Engage now,Strong Adopters,Qualcomm; Broadcom; AMD; Intel; Applied Materials
Qualcomm,QCOM,Technology,Semiconductors & Hardware,baseline,SEC filings,90,14,76,94,84,71.9,0,0,0.0,0.0,5.0,76.9,Tier 1,Engage now,Strong Adopters,Dell Technologies; Broadcom; AMD; Intel; Applied Materials
Broadcom,AVGO,Technology,Semiconductors & Hardware,baseline,SEC filings,90,14,76,94,84,71.9,0,0,0.0,0.0,5.0,76.9,Tier 1,Engage now,Strong Adopters,Dell Technologies; Qualcomm; AMD; Intel; Applied Materials
Micron,MU,Technology,Semiconductors & Hardware,baseline,SEC filings,84,70,72,94,76,70.8,0,0,0.0,0.0,5.0,75.8,Tier 1,Engage now,Strong Adopters,Hewlett Packard Enterprise; Schneider Electric; Siemens (Americas); Marvell; Tesla
Atlassian,TEAM,Technology,Software & Internet,baseline,SEC filings,86,14,94,87,59,70.0,0,0,0.0,0.0,5.0,75.0,Tier 1,Engage now,AI Front-Runners,Datadog; Workday; Netflix; Apple; Uber
Bank of America,BAC,Financial Services,Banks,baseline,SEC filings,88,42,82,84,54,69.4,0,0,0.0,0.0,5.0,74.4,Tier 2,Nurture,Steady Middle,Goldman Sachs; American Express; Eli Lilly; BlackRock; PayPal
Visa,V,Financial Services,Payments & Fintech,baseline,SEC filings,92,0,92,92,56,68.8,0,0,0.0,0.0,5.0,73.8,Tier 2,Nurture,AI Front-Runners,Mastercard; Accenture; Spotify; Netflix; Atlassian
Intuit,INTU,Technology,Software & Internet,baseline,SEC filings,86,35,94,75,59,68.7,0,0,0.0,0.0,5.0,73.7,Tier 2,Nurture,AI Front-Runners,Shopify; Snowflake; Datadog; Salesforce; Adobe
American Express,AXP,Financial Services,Payments & Fintech,baseline,SEC filings,86,42,88,92,48,73.3,0,0,0.0,0.0,0.3,73.6,Tier 2,Nurture,Steady Middle,PayPal; Bank of America; BlackRock; Gartner; Shopify
SAP,SAP,Technology,Software & Internet,baseline,SEC filings,92,0,98,87,67,68.2,0,0,0.0,0.0,5.0,73.2,Tier 2,Nurture,AI Front-Runners,Apple; Uber; ServiceNow; Visa; Mastercard
ServiceNow,NOW,Technology,Software & Internet,baseline,SEC filings,92,14,98,75,67,68.0,0,0,0.0,0.0,5.0,73.0,Tier 2,Nurture,AI Front-Runners,Apple; Uber; Adobe; SAP; Salesforce
PayPal,PYPL,Financial Services,Payments & Fintech,baseline,SEC filings,86,28,88,92,48,70.5,0,0,0.0,0.0,1.9,72.4,Tier 2,Nurture,Steady Middle,American Express; Gartner; Cognizant; Electronic Arts; Goldman Sachs
Eaton,ETN,Manufacturing & Industrial,Industrial & Materials,baseline,SEC filings,76,28,76,96,52,67.0,0,0,0.0,0.0,5.0,72.0,Tier 2,Nurture,Steady Middle,Corning; Amgen; Pfizer; Ford Motor; Deere & Company
Mastercard,MA,Financial Services,Payments & Fintech,baseline,SEC filings,92,0,92,92,56,68.8,1,0,-2.0,0.0,5.0,71.8,Tier 2,Nurture,AI Front-Runners,Visa; Accenture; Spotify; Netflix; Atlassian
Goldman Sachs,GS,Financial Services,Banks,baseline,SEC filings,88,28,82,84,54,66.6,0,0,0.0,0.0,5.0,71.6,Tier 2,Nurture,Steady Middle,Bank of America; Eli Lilly; Moderna; PayPal; Morgan Stanley
Block,SQ,Financial Services,Payments & Fintech,baseline,,86,78,88,80,48,66.2,0,0,0.0,0.0,5.0,71.2,Tier 2,Nurture,Late Starters,S&P Global; Fiserv; Paramount; American Express; Marsh McLennan
Accenture,ACN,Professional Services,Professional Services,baseline,SEC filings,88,0,88,94,50,66.2,0,0,0.0,0.0,5.0,71.2,Tier 2,Nurture,Steady Middle,Spotify; Netflix; Visa; Mastercard; JPMorgan Chase
